id,Chlorophyll,Temp
1046,0.758876681,-9999
1047,7.54987431,27.6625004
1048,1.04633486,-9999
1049,1.52239299,28.6000004
1050,1.40942299,27.9750004
1051,1.25697839,-9999
1052,1.14742339,26.6000004
1053,1.23378444,-9999
1054,1.47338462,-9999
1055,1.39730346,-9999
1056,1.20544672,27.7875004
1057,2.37873244,-9999
1058,0.726485193,27.5375004
1059,0.493099689,27.3500004
1060,1.16476703,26.9125004
1061,1.83700526,27.3500004
1062,2.03198671,-9999
1063,1.79017758,-9999
1064,1.35084331,-9999
1065,1.03692675,27.0375004
1066,-32767,28.0375004
1067,1.49413276,27.2250004
1068,0.462955534,27.7250004
1069,-32767,26.9125004
1070,1.0162226,27.9750004
1071,1.56071782,-9999
1072,1.75504279,27.2875004
1073,1.66608846,-9999
1074,1.64160073,26.7250004
1075,1.50032938,27.2250004
1076,1.17671549,27.2875004
